step_seq,bucket_seq,n_chunks,recv_count,decision,nbytes,to_bytes_ms,stage_ms,threads_ms,send_ms,recv_ms,finalize_ms,average_ms,from_numpy_ms,total_ms,hook_total_ms
173,0,2729,2729,1,44695848,2.970,3.136,64.408,8.130,56.197,0.051,46.655,3.120,114.253,125.678
174,0,2729,2729,1,44695848,24.948,3.100,66.209,8.287,57.716,0.044,67.902,6.726,137.257,178.439
175,0,2729,2729,1,44695848,2.998,3.075,64.640,8.115,56.349,0.041,71.242,6.956,138.999,159.289
176,0,2729,2729,1,44695848,2.648,2.798,64.477,7.987,56.292,0.051,70.542,6.939,137.870,157.626
177,0,2729,2729,1,44695848,2.654,2.817,64.516,34.849,58.324,0.054,45.505,2.817,112.894,123.672
178,0,2729,2729,1,44695848,2.676,2.830,64.860,8.240,56.454,0.040,69.287,6.966,137.019,157.303
179,0,2729,2729,1,44695848,23.933,2.772,64.493,7.927,56.212,0.045,69.247,6.971,136.559,177.233
180,0,2729,2729,1,44695848,23.860,2.771,64.312,8.015,56.147,0.041,69.036,6.998,136.162,176.723
181,0,2729,2729,1,44695848,23.830,2.779,65.325,8.261,56.734,0.043,70.281,6.942,138.430,178.807
182,0,2729,2729,1,44695848,23.957,2.774,64.719,8.310,56.246,0.042,68.647,6.948,136.185,176.698
183,0,2729,2729,1,44695848,23.883,3.094,65.274,64.950,57.617,0.044,71.066,6.997,139.479,180.183
184,0,2729,2729,1,44695848,23.517,2.779,230.504,230.223,222.091,0.041,69.076,8.648,302.402,344.346
185,0,2729,2729,1,44695848,23.838,3.093,64.905,7.691,56.872,0.056,70.854,6.957,138.911,179.348
186,0,2729,2729,1,44695848,24.591,2.823,71.837,71.492,63.562,0.053,69.183,8.340,143.898,186.387
187,0,2729,2729,1,44695848,24.001,2.771,64.469,8.051,56.261,0.052,68.681,6.659,135.977,175.670
188,0,2729,2729,1,44695848,23.724,2.762,64.945,7.918,56.674,0.053,67.501,6.680,135.263,175.205
189,0,2729,2729,1,44695848,2.663,2.869,227.271,226.969,218.807,0.042,69.519,8.275,299.703,320.498
190,0,2729,2729,1,44695848,2.611,2.835,63.993,8.055,57.814,0.042,68.331,6.754,135.203,154.374
191,0,2729,2729,1,44695848,23.952,2.773,64.248,7.980,56.108,0.052,68.778,6.705,135.854,175.597
192,0,2729,2729,1,44695848,2.625,2.779,121.720,121.402,113.307,0.043,18.220,2.812,142.764,153.139
193,0,2729,2729,1,44695848,2.638,2.842,65.117,8.205,56.579,0.053,45.285,3.145,113.299,124.498
194,0,2729,2729,1,44695848,2.670,2.844,65.757,65.477,57.812,0.042,68.306,6.860,136.951,156.490
195,0,2729,2729,1,44695848,2.674,2.976,65.006,8.600,56.400,0.106,69.942,6.957,138.032,157.936
196,0,2729,2729,1,44695848,23.066,2.898,63.538,8.251,57.392,0.052,70.507,6.937,136.997,176.514
197,0,2729,2729,1,44695848,2.684,2.890,64.098,8.363,55.547,0.051,70.354,7.057,137.396,157.226
198,0,2729,2729,1,44695848,2.649,2.908,63.337,7.985,57.233,0.051,69.395,6.943,135.695,155.154
199,0,2729,2729,1,44695848,2.666,2.790,64.446,8.341,55.734,0.041,67.776,6.688,135.054,153.616
